"mes","nombrecliente","fechaultcompra","diasuc_pc","diaspc_apc"
"2011-06","Ramon Zheng","2011-06-29 00:00:00",NULL,NULL
"2011-06","Raul Sharma","2011-06-28 00:00:00",NULL,NULL
"2011-06","Richard Brooks","2011-06-09 00:00:00",NULL,NULL
"2011-06","Rob Verhoff","2011-06-27 00:00:00",NULL,NULL
"2011-06","Rosa Zheng","2011-06-08 00:00:00",NULL,NULL
"2011-06","Roy Raman","2011-06-18 00:00:00",NULL,NULL
"2011-06","Ruben Torres","2011-06-09 00:00:00",NULL,NULL
"2011-06","Samuel Hernandez","2011-06-24 00:00:00",NULL,NULL
"2011-06","Sandra Huang","2011-06-24 00:00:00",NULL,NULL
"2011-06","Sara James","2011-06-29 00:00:00",NULL,NULL
"2011-06","Savannah Morris","2011-06-24 00:00:00",NULL,NULL
"2011-06","Shannon Carlson","2011-06-29 00:00:00",NULL,NULL
"2011-06","Shannon Wang","2011-06-14 00:00:00",NULL,NULL
"2011-06","Stacey Lu","2011-06-13 00:00:00",NULL,NULL
"2011-06","Sydney Rogers","2011-06-04 00:00:00",NULL,NULL
"2011-06","Tabitha Arthur","2011-06-13 00:00:00",NULL,NULL
"2011-06","Tamara Lal","2011-06-11 00:00:00",NULL,NULL
"2011-06","Tiffany Gao","2011-06-15 00:00:00",NULL,NULL
"2011-06","Tonya She","2011-06-22 00:00:00",NULL,NULL
"2011-06","Tristan Butler","2011-06-21 00:00:00",NULL,NULL
"2011-06","Tristan Perry","2011-06-26 00:00:00",NULL,NULL
"2011-06","Troy Sai","2011-06-19 00:00:00",NULL,NULL
"2011-06","Warren Jai","2011-06-04 00:00:00",NULL,NULL
"2011-06","Warren Ye","2011-06-18 00:00:00",NULL,NULL
"2011-06","Warren Zhang","2011-06-19 00:00:00",NULL,NULL
"2011-06","Yolanda Chander","2011-06-26 00:00:00",NULL,NULL
"2011-07","Aaron Con","2011-07-01 00:00:00",NULL,NULL
"2011-07","Adam Flores","2011-07-31 00:00:00",NULL,NULL
"2011-07","Alan Xu","2011-07-04 00:00:00",NULL,NULL
"2011-07","Alan Zheng","2011-07-23 00:00:00",NULL,NULL
"2011-07","Alexandria Brooks","2011-07-20 00:00:00",NULL,NULL
"2011-07","Alexis Coleman","2011-07-15 00:00:00",NULL,NULL
"2011-07","Alisha Ye","2011-07-22 00:00:00",NULL,NULL
"2011-07","Alisha Zhang","2011-07-26 00:00:00",NULL,NULL
"2011-07","Alvin She","2011-07-11 00:00:00",NULL,NULL
"2011-07","Amanda Wood","2011-07-09 00:00:00",NULL,NULL
"2011-07","Andre Sara","2011-07-08 00:00:00",NULL,NULL
"2011-07","Andrea Sanders","2011-07-21 00:00:00",NULL,NULL
"2011-07","Angel Carter","2011-07-20 00:00:00",NULL,NULL
"2011-07","Ann Beebe","2011-07-01 00:00:00",NULL,NULL
"2011-07","Anna Price","2011-07-13 00:00:00",NULL,NULL
"2011-07","Anne Hernandez","2011-07-30 00:00:00",NULL,NULL
"2011-07","Ariana Bailey","2011-07-28 00:00:00",NULL,NULL
"2011-07","Ariana Stewart","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ashlee Raje","2011-07-09 00:00:00",NULL,NULL
"2011-07","Ashlee Xu","2011-07-31 00:00:00",NULL,NULL
"2011-07","Bernard Duerr","2011-07-01 00:00:00",NULL,NULL
"2011-07","Bethany Yuan","2011-07-08 00:00:00",NULL,NULL
"2011-07","Blaine Dockter","2011-07-01 00:00:00",NULL,NULL
"2011-07","Brad Sharma","2011-07-14 00:00:00",NULL,NULL
"2011-07","Brandi Gill","2011-07-01 00:00:00",NULL,NULL
"2011-07","Brannon Jones","2011-07-01 00:00:00",NULL,NULL
"2011-07","Brian Goldstein","2011-07-01 00:00:00",NULL,NULL
"2011-07","Brianna Simmons","2011-07-26 00:00:00",NULL,NULL
"2011-07","Bridget Jai","2011-07-04 00:00:00",NULL,NULL
"2011-07","Bryan Hamilton","2011-07-01 00:00:00",NULL,NULL
"2011-07","Bryan Stewart","2011-07-20 00:00:00",NULL,NULL
"2011-07","Cara Liang","2011-07-14 00:00:00",NULL,NULL
"2011-07","Carl Andersen","2011-07-25 00:00:00",NULL,NULL
"2011-07","Carla Eldridge","2011-07-01 00:00:00",NULL,NULL
"2011-07","Carlos Carter","2011-07-30 00:00:00",NULL,NULL
"2011-07","Carrie Gill","2011-07-05 00:00:00",NULL,NULL
"2011-07","Cecil Allison","2011-07-01 00:00:00",NULL,NULL
"2011-07","Christine Yuan","2011-07-09 00:00:00",NULL,NULL
"2011-07","Christopher Martin","2011-07-14 00:00:00",NULL,NULL
"2011-07","Cindy Dodd","2011-07-01 00:00:00",NULL,NULL
"2011-07","Clarence Tatman","2011-07-01 00:00:00",NULL,NULL
"2011-07","Claudia Gao","2011-07-26 00:00:00",NULL,NULL
"2011-07","Claudia Zeng","2011-07-07 00:00:00",NULL,NULL
"2011-07","Claudia Zhou","2011-07-21 00:00:00",NULL,NULL
"2011-07","Colleen Chavez","2011-07-08 00:00:00",NULL,NULL
"2011-07","Cristina Xie","2011-07-27 00:00:00",NULL,NULL
"2011-07","Curtis Howard","2011-07-01 00:00:00",NULL,NULL
"2011-07","Dalton Brown","2011-07-18 00:00:00",NULL,NULL
"2011-07","Dalton Lee","2011-07-21 00:00:00",NULL,NULL
"2011-07","Darren Gehring","2011-07-01 00:00:00",NULL,NULL
"2011-07","David Johnson","2011-07-01 00:00:00",NULL,NULL
"2011-07","David Liu","2011-07-01 00:00:00",NULL,NULL
"2011-07","Deanna Munoz","2011-07-06 00:00:00",NULL,NULL
"2011-07","Della Demott Jr","2011-07-01 00:00:00",NULL,NULL
"2011-07","Denise Sanchez","2011-07-12 00:00:00",NULL,NULL
"2011-07","Denise Stone","2011-07-21 00:00:00",NULL,NULL
"2011-07","Dennis Ye","2011-07-15 00:00:00",NULL,NULL
"2011-07","Derek Goel","2011-07-22 00:00:00",NULL,NULL
"2011-07","Derek Graham","2011-07-01 00:00:00",NULL,NULL
"2011-07","Derrick Serrano","2011-07-24 00:00:00",NULL,NULL
"2011-07","Diana Hernandez","2011-07-10 00:00:00",NULL,NULL
"2011-07","Diane Tibbott","2011-07-01 00:00:00",NULL,NULL
"2011-07","Dominic Gonzalez","2011-07-21 00:00:00",NULL,NULL
"2011-07","Dorothy Contreras","2011-07-01 00:00:00",NULL,NULL
"2011-07","Douglas Hite","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ebony Gonzalez","2011-07-04 00:00:00",NULL,NULL
"2011-07","Edwin Xu","2011-07-24 00:00:00",NULL,NULL
"2011-07","Elijah Li","2011-07-03 00:00:00",NULL,NULL
"2011-07","Elizabeth Keyser","2011-07-01 00:00:00",NULL,NULL
"2011-07","Emily Jones","2011-07-05 00:00:00",NULL,NULL
"2011-07","Ethan Coleman","2011-07-24 00:00:00",NULL,NULL
"2011-07","Evan King","2011-07-28 00:00:00",NULL,NULL
"2011-07","Gabriel Bockenkamp","2011-07-01 00:00:00",NULL,NULL
"2011-07","Gabrielle Long","2011-07-22 00:00:00",NULL,NULL
"2011-07","Gabrielle Turner","2011-07-12 00:00:00",NULL,NULL
"2011-07","Garth Fort","2011-07-01 00:00:00",NULL,NULL
"2011-07","Gilbert Raje","2011-07-03 00:00:00",NULL,NULL
"2011-07","Gina Clark","2011-07-01 00:00:00",NULL,NULL
"2011-07","Gloria Diaz","2011-07-03 00:00:00",NULL,NULL
"2011-07","Gloria Lesko","2011-07-01 00:00:00",NULL,NULL
"2011-07","Grant Culbertson","2011-07-01 00:00:00",NULL,NULL
"2011-07","Hanying Feng","2011-07-01 00:00:00",NULL,NULL
"2011-07","Heidi Lopez","2011-07-20 00:00:00",NULL,NULL
"2011-07","Helen Lutes","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ian Morris","2011-07-14 00:00:00",NULL,NULL
"2011-07","Imtiaz Khan","2011-07-01 00:00:00",NULL,NULL
"2011-07","Jack Mitchell","2011-07-11 00:00:00",NULL,NULL
"2011-07","Jack Young","2011-07-21 00:00:00",NULL,NULL
"2011-07","Jaclyn Lu","2011-07-06 00:00:00",NULL,NULL
"2011-07","Jacob Dean","2011-07-01 00:00:00",NULL,NULL
"2011-07","Jaime Nath","2011-07-18 00:00:00",NULL,NULL
"2011-07","Jan Watson","2011-07-20 00:00:00",NULL,NULL
"2011-07","Jason Gonzalez","2011-07-13 00:00:00",NULL,NULL
"2011-07","Jason Lopez","2011-07-18 00:00:00",NULL,NULL
"2011-07","Jay Sanchez","2011-07-18 00:00:00",NULL,NULL
"2011-07","Jeremy Powell","2011-07-13 00:00:00",NULL,NULL
"2011-07","Jessica Lewis","2011-07-24 00:00:00",NULL,NULL
"2011-07","Jessie Ortega","2011-07-06 00:00:00",NULL,NULL
"2011-07","Jessie Valerio","2011-07-01 00:00:00",NULL,NULL
"2011-07","Jimmy Navarro","2011-07-19 00:00:00",NULL,NULL
"2011-07","Joan Campbell","2011-07-01 00:00:00",NULL,NULL
"2011-07","Joel Perez","2011-07-11 00:00:00",NULL,NULL
"2011-07","John Arthur","2011-07-01 00:00:00",NULL,NULL
"2011-07","John Berger","2011-07-01 00:00:00",NULL,NULL
"2011-07","John Ford","2011-07-01 00:00:00",NULL,NULL
"2011-07","John Kelly","2011-07-01 00:00:00",NULL,NULL
"2011-07","John Long","2011-07-01 00:00:00",NULL,NULL
"2011-07","Joseph Brown","2011-07-15 00:00:00",NULL,NULL
"2011-07","Joseph Cantoni","2011-07-01 00:00:00",NULL,NULL
"2011-07","Josh Barnhill","2011-07-01 00:00:00",NULL,NULL
"2011-07","Juanita Holman","2011-07-01 00:00:00",NULL,NULL
"2011-07","Justin Taylor","2011-07-01 00:00:00",NULL,NULL
"2011-07","Kaitlyn Foster","2011-07-15 00:00:00",NULL,NULL
"2011-07","Kaitlyn Henderson","2011-07-02 00:00:00",NULL,NULL
"2011-07","Kari Hensien","2011-07-01 00:00:00",NULL,NULL
"2011-07","Kari Navarro","2011-07-10 00:00:00",NULL,NULL
"2011-07","Karl Rai","2011-07-29 00:00:00",NULL,NULL
"2011-07","Katherine Harding","2011-07-01 00:00:00",NULL,NULL
"2011-07","Kelli Chen","2011-07-19 00:00:00",NULL,NULL
"2011-07","Kellie Sanz","2011-07-22 00:00:00",NULL,NULL
"2011-07","Kendra Rubio","2011-07-05 00:00:00",NULL,NULL
"2011-07","Krista Moreno","2011-07-10 00:00:00",NULL,NULL
"2011-07","Kristi Arthur","2011-07-06 00:00:00",NULL,NULL
"2011-07","Kristine Alonso","2011-07-05 00:00:00",NULL,NULL
"2011-07","Krystal Lu","2011-07-30 00:00:00",NULL,NULL
"2011-07","Kyle Lopez","2011-07-19 00:00:00",NULL,NULL
"2011-07","Lacey Guo","2011-07-19 00:00:00",NULL,NULL
"2011-07","Laura Zheng","2011-07-21 00:00:00",NULL,NULL
"2011-07","Lawrence Romero","2011-07-06 00:00:00",NULL,NULL
"2011-07","Lee Blanco","2011-07-15 00:00:00",NULL,NULL
"2011-07","Linda Burnett","2011-07-01 00:00:00",NULL,NULL
"2011-07","Linda Gonzales","2011-07-01 00:00:00",NULL,NULL
"2011-07","Linda Leste","2011-07-01 00:00:00",NULL,NULL
"2011-07","Lindsay Luo","2011-07-20 00:00:00",NULL,NULL
"2011-07","Lindsey Camacho","2011-07-01 00:00:00",NULL,NULL
"2011-07","Logan Williams","2011-07-10 00:00:00",NULL,NULL
"2011-07","Lori Ramos","2011-07-29 00:00:00",NULL,NULL
"2011-07","Lucas Collins","2011-07-23 00:00:00",NULL,NULL
"2011-07","Lucas Mitchell","2011-07-31 00:00:00",NULL,NULL
"2011-07","Lucio Iallo","2011-07-01 00:00:00",NULL,NULL
"2011-07","Lynn Tsoflias","2011-07-01 00:00:00",NULL,NULL
"2011-07","Marc Martin","2011-07-10 00:00:00",NULL,NULL
"2011-07","Margaret Krupka","2011-07-01 00:00:00",NULL,NULL
"2011-07","Margaret Vanderkamp","2011-07-01 00:00:00",NULL,NULL
"2011-07","Marie Sanz","2011-07-06 00:00:00",NULL,NULL
"2011-07","Mario Shan","2011-07-13 00:00:00",NULL,NULL
"2011-07","Mario Xie","2011-07-12 00:00:00",NULL,NULL
"2011-07","Mary Howard","2011-07-18 00:00:00",NULL,NULL
"2011-07","Maxwell Amland","2011-07-01 00:00:00",NULL,NULL
"2011-07","Mayra Perez","2011-07-25 00:00:00",NULL,NULL
"2011-07","Melanie Foster","2011-07-19 00:00:00",NULL,NULL
"2011-07","Melanie Ross","2011-07-15 00:00:00",NULL,NULL
"2011-07","Michael Allen","2011-07-01 00:00:00",NULL,NULL
"2011-07","Michele Nath","2011-07-29 00:00:00",NULL,NULL
"2011-07","Miranda Price","2011-07-19 00:00:00",NULL,NULL
"2011-07","Mitchell Jai","2011-07-01 00:00:00",NULL,NULL
"2011-07","Mitchell Pal","2011-07-25 00:00:00",NULL,NULL
"2011-07","Nancy Srini","2011-07-29 00:00:00",NULL,NULL
"2011-07","Natalie Hernandez","2011-07-06 00:00:00",NULL,NULL
"2011-07","Natalie Rogers","2011-07-29 00:00:00",NULL,NULL
"2011-07","Natasha Gutierrez","2011-07-23 00:00:00",NULL,NULL
"2011-07","Nkenge McLin","2011-07-01 00:00:00",NULL,NULL
"2011-07","Noah King","2011-07-21 00:00:00",NULL,NULL
"2011-07","Olivia Bennett","2011-07-11 00:00:00",NULL,NULL
"2011-07","Olivia Jackson","2011-07-18 00:00:00",NULL,NULL
"2011-07","Orlando Gee","2011-07-01 00:00:00",NULL,NULL
"2011-07","Oscar Alpuerto","2011-07-01 00:00:00",NULL,NULL
"2011-07","Paige Morris","2011-07-01 00:00:00",NULL,NULL
"2011-07","Patricia Raman","2011-07-24 00:00:00",NULL,NULL
"2011-07","Paula Ortega","2011-07-12 00:00:00",NULL,NULL
"2011-07","Paula Romero","2011-07-31 00:00:00",NULL,NULL
"2011-07","Philip Gomez","2011-07-04 00:00:00",NULL,NULL
"2011-07","Phillip Rana","2011-07-29 00:00:00",NULL,NULL
"2011-07","Phyllis Allen","2011-07-01 00:00:00",NULL,NULL
"2011-07","Phyllis Huntsman","2011-07-01 00:00:00",NULL,NULL
"2011-07","Preston Sai","2011-07-24 00:00:00",NULL,NULL
"2011-07","Rachel Foster","2011-07-02 00:00:00",NULL,NULL
"2011-07","Rachel Robinson","2011-07-07 00:00:00",NULL,NULL
"2011-07","Randall Dominguez","2011-07-24 00:00:00",NULL,NULL
"2011-07","Ranjit Varkey Chudukatil","2011-07-01 00:00:00",NULL,NULL
"2011-07","Rebecca Wright","2011-07-30 00:00:00",NULL,NULL
"2011-07","Renee Romero","2011-07-07 00:00:00",NULL,NULL
"2011-07","Richard Bailey","2011-07-30 00:00:00",NULL,NULL
"2011-07","Richard Irwin","2011-07-01 00:00:00",NULL,NULL
"2011-07","Robert Vessa","2011-07-01 00:00:00",NULL,NULL
"2011-07","Robin Alvarez","2011-07-24 00:00:00",NULL,NULL
"2011-07","Robin Dominguez","2011-07-10 00:00:00",NULL,NULL
"2011-07","Roger Harui","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ronald Adina","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ronnie Zhang","2011-07-31 00:00:00",NULL,NULL
"2011-07","Rosa Lu","2011-07-22 00:00:00",NULL,NULL
"2011-07","Ruby Sue Styles","2011-07-01 00:00:00",NULL,NULL
"2011-07","Ryan Lal","2011-07-30 00:00:00",NULL,NULL
"2011-07","Samantha Ross","2011-07-19 00:00:00",NULL,NULL
"2011-07","Samuel Johnson","2011-07-01 00:00:00",NULL,NULL
"2011-07","Sandra Kitt","2011-07-01 00:00:00",NULL,NULL
"2011-07","Sandra Li","2011-07-26 00:00:00",NULL,NULL
"2011-07","Savannah Scott","2011-07-17 00:00:00",NULL,NULL
"2011-07","Scott Gode","2011-07-01 00:00:00",NULL,NULL
"2011-07","Shane Raman","2011-07-02 00:00:00",NULL,NULL
"2011-07","Shannon Dominguez","2011-07-31 00:00:00",NULL,NULL
"2011-07","Sharon Kumar","2011-07-29 00:00:00",NULL,NULL
"2011-07","Sharon Sharma","2011-07-05 00:00:00",NULL,NULL
"2011-07","Sophia Hall","2011-07-07 00:00:00",NULL,NULL
"2011-07","Sophia Nelson","2011-07-13 00:00:00",NULL,NULL
"2011-07","Spencer Low","2011-07-01 00:00:00",NULL,NULL
"2011-07","Stacey Gao","2011-07-03 00:00:00",NULL,NULL
"2011-07","Stefan Delmarco","2011-07-01 00:00:00",NULL,NULL
"2011-07","Steve Masters","2011-07-01 00:00:00",NULL,NULL
